2024-10-14 07:19:25.034 GMT [99] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:19:30.040 GMT [101] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:19:35.044 GMT [102] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:19:40.051 GMT [103] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:19:45.053 GMT [104] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:19:50.058 GMT [106] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:19:55.064 GMT [107] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:00.072 GMT [108] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:05.074 GMT [109] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:10.078 GMT [111] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:13.535 GMT [112] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:15.084 GMT [113] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:18.539 GMT [114] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:20.087 GMT [115] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:23.544 GMT [116] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:25.092 GMT [117] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:28.551 GMT [118] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:30.094 GMT [120] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
2024-10-14 07:20:33.555 GMT [121] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.156", user "repl_user", no encryption
2024-10-14 07:20:35.099 GMT [122] FATAL:  no pg_hba.conf entry for replication connection from host "192.168.26.165", user "repl_user", no encryption
